Mỹ	O	ORG	Entity	O
cách_chức	End-position	O	O	E
tư_lệnh	O	PER	Person	O
Hạm_đội	O	PER	Person	O
7	O	PER	Person	O
sau	O	O	O	O
vụ	O	O	O	O
va_chạm	O	O	O	O
tàu_khu_trục	O	O	O	O
.	O	O	O	O

Phó	O	PER	Person	O
đô_đốc	O	PER	Person	O
Joseph_Aucoin	O	PER	Person	O
bị	O	O	O	O
cách_chức	End-position	O	O	E
tư_lệnh	O	JOB	Position	O
Hạm_đội	O	JOB	Position	O
7	O	JOB	Position	O
.	O	O	O	O

"	O	O	O	O
Đô_đốc	O	PER	O	O
Scott_Swift	O	PER	O	O
,	O	PER	O	O
tư_lệnh	O	PER	O	O
Hạm_đội	O	PER	O	O
Thái_Bình_Dương	O	PER	O	O
của	O	PER	O	O
Mỹ	O	PER	O	O
,	O	O	O	O
hôm_nay	O	TIME	Time	O
cách_chức	End-position	O	O	E
tư_lệnh	O	JOB	Position	O
Hạm_đội	O	JOB	Position	O
7	O	JOB	Position	O
,	O	O	O	O
Phó	O	PER	Person	O
đô_đốc	O	PER	Person	O
Joseph_Aucoin	O	PER	Person	O
,	O	O	O	O
do	O	O	O	O
mất	O	O	O	O
lòng_tin	O	O	O	O
vào	O	O	O	O
khả_năng	O	O	O	O
chỉ_huy	O	O	O	O
của	O	O	O	O
ông	O	O	O	O
"	O	O	O	O
,	O	O	O	O
hải_quân	O	O	O	O
Mỹ	O	O	O	O
ngày	O	O	O	O
23/8	O	O	O	O
thông_báo	O	O	O	O
,	O	O	O	O
theo	O	O	O	O
Reuters	O	O	O	O
.	O	O	O	O

Ông	O	O	O	O
Swift	O	O	O	O
đã	O	O	O	O
yêu_cầu	O	O	O	O
phó	O	O	O	O
tư_lệnh	O	O	O	O
Hạm_đội	O	O	O	O
Thái_Bình_Dương	O	O	O	O
,	O	O	O	O
Chuẩn	O	PER	Person	O
đô_đốc	O	PER	Person	O
Phil_Sawyer	O	PER	Person	O
,	O	O	O	O
ngay_lập_tức	O	O	O	O
thay_thế	Start-position	O	O	E
vị_trí	O	O	O	O
của	O	O	O	O
Aucoin	O	PER	O	O
.	O	O	O	O

Tuy_nhiên	O	O	O	O
,	O	O	O	O
quyết_định	O	O	O	O
sa_thải	End-position	O	O	E
Phó	O	PER	Person	O
đô_đốc	O	PER	Person	O
Aucoin	O	PER	Person	O
không	O	O	O	O
đồng_nghĩa	O	O	O	O
với	O	O	O	O
việc	O	O	O	O
ông	O	O	O	O
có	O	O	O	O
lỗi	O	O	O	O
trực_tiếp	O	O	O	O
.	O	O	O	O

Các	O	PER	Person	O
sĩ_quan	O	PER	Person	O
chỉ_huy	O	PER	Person	O
hải_quân	O	PER	Person	O
Mỹ	O	PER	Person	O
thường	O	O	O	O
bị	O	O	O	O
cách_chức	End-position	O	O	E
khi	O	O	O	O
cấp	O	O	O	O
trên	O	O	O	O
không	O	O	O	O
còn	O	O	O	O
niềm_tin	O	O	O	O
vào	O	O	O	O
khả_năng	O	O	O	O
lãnh_đạo	O	O	O	O
của	O	O	O	O
họ	O	O	O	O
.	O	O	O	O

